iter	Passed	Remaining
425	1628	2194
426	1631	2189
427	1633	2183
428	1635	2176
429	1637	2171
430	1640	2166
431	1643	2160
432	1645	2154
433	1647	2148
434	1649	2142
435	1651	2136
436	1653	2130
437	1656	2125
438	1659	2120
439	1661	2114
440	1663	2108
441	1666	2104
442	1670	2099
443	1672	2094
444	1675	2089
445	1678	2084
446	1680	2079
447	1685	2076
448	1689	2072
449	1693	2069
450	1697	2066
451	1701	2063
452	1705	2059
453	1708	2054
454	1710	2048
455	1712	2043
456	1715	2038
457	1717	2032
458	1719	2026
459	1721	2020
460	1723	2015
461	1725	2009
462	1727	2003
463	1729	1998
464	1732	1992
465	1734	1987
466	1736	1981
467	1738	1976
468	1740	1970
469	1742	1965
470	1745	1960
471	1747	1954
472	1749	1949
473	1751	1943
474	1753	1938
475	1755	1932
476	1757	1927
477	1760	1922
478	1762	1917
479	1765	1912
480	1767	1906
481	1769	1901
482	1771	1896
483	1773	1891
484	1776	1886
485	1778	1880
486	1780	1875
487	1782	1869
488	1784	1865
489	1787	1860
490	1789	1855
491	1793	1851
492	1795	1846
493	1798	1841
494	1800	1836
495	1803	1832
496	1806	1828
497	1809	1823
498	1811	1819
499	1814	1814
500	1816	1809
501	1820	1806
502	1823	1801
503	1826	1797
504	1828	1792
505	1831	1787
506	1834	1783
507	1837	1779
508	1840	1775
509	1842	1770
510	1845	1766
511	1848	1761
512	1851	1758
513	1854	1753
514	1856	1748
515	1859	1744
516	1861	1739
517	1864	1735
518	1867	1731
519	1870	1726
520	1872	1721
521	1874	1716
522	1876	1711
523	1880	1708
524	1883	1704
525	1886	1699
526	1889	1696
527	1897	1695
528	1900	1691
529	1904	1688
530	1907	1684
531	1915	1685
532	1919	1681
533	1930	1685
534	1933	1680
535	1937	1677
536	1943	1675
537	1946	1671
538	1949	1667
539	1951	1662
540	1953	1657
541	1956	1653
542	1959	1649
543	1962	1644
544	1964	1640
545	1966	1635
546	1968	1630
547	1971	1626
548	1974	1622
549	1977	1617
550	1979	1612
551	1981	1608
552	1983	1603
553	1987	1600
554	1990	1595
555	1992	1591
556	1995	1587
557	1997	1582
558	2002	1579
559	2004	1575
560	2007	1570
561	2010	1567
562	2012	1562
563	2015	1557
564	2017	1553
565	2020	1549
566	2023	1545
567	2025	1540
568	2028	1536
569	2030	1531
570	2032	1527
571	2035	1523
572	2037	1518
573	2040	1514
574	2042	1509
575	2045	1505
576	2047	1501
577	2050	1496
578	2052	1492
579	2055	1488
580	2058	1484
581	2061	1480
582	2063	1476
583	2066	1472
584	2068	1467
585	2071	1463
586	2073	1458
587	2075	1454
588	2078	1450
589	2080	1446
590	2083	1441
591	2085	1437
592	2088	1433
593	2090	1428
594	2092	1424
595	2094	1419
596	2097	1415
597	2099	1411
598	2101	1406
599	2103	1402
600	2105	1398
601	2108	1394
602	2111	1390
603	2115	1386
604	2117	1382
605	2121	1379
606	2126	1376
607	2129	1373
608	2134	1370
609	2137	1366
610	2141	1363
611	2144	1359
612	2147	1355
613	2150	1352
614	2154	1348
615	2157	1344
616	2159	1340
617	2162	1336
618	2165	1332
619	2167	1328
620	2171	1325
621	2174	1321
622	2177	1317
623	2179	1313
624	2182	1309
625	2185	1305
626	2188	1301
627	2190	1297
628	2193	1293
629	2195	1289
630	2198	1285
631	2200	1281
632	2203	1277
633	2205	1273
634	2207	1268
635	2210	1264
636	2212	1260
637	2214	1256
638	2217	1252
639	2220	1248
640	2222	1244
641	2225	1241
642	2228	1237
643	2230	1233
644	2233	1229
645	2235	1225
646	2237	1220
647	2240	1216
648	2242	1212
649	2244	1208
650	2247	1205
651	2250	1201
652	2252	1197
653	2255	1193
654	2258	1189
655	2261	1185
656	2264	1182
657	2268	1178
658	2270	1175
659	2273	1171
660	2275	1167
661	2278	1163
662	2282	1160
663	2285	1156
664	2290	1154
665	2295	1150
666	2298	1147
667	2300	1143
668	2304	1140
669	2307	1136
670	2310	1132
671	2312	1128
672	2315	1124
673	2317	1120
674	2320	1117
675	2323	1113
676	2326	1109
677	2328	1105
678	2332	1102
679	2339	1101
680	2343	1097
681	2347	1094
682	2356	1093
683	2359	1090
684	2363	1086
685	2366	1083
686	2370	1079
687	2373	1076
688	2376	1072
689	2379	1069
690	2382	1065
691	2385	1061
692	2389	1058
693	2391	1054
694	2394	1050
695	2397	1046
696	2399	1043
697	2401	1039
698	2403	1035
699	2406	1031
700	2408	1027
701	2411	1023
702	2415	1020
703	2417	1016
704	2419	1012
705	2422	1008
706	2428	1006
707	2431	1002
708	2433	998
709	2437	995
710	2442	992
711	2444	988
712	2446	984
713	2449	981
714	2451	977
715	2453	973
716	2457	969
717	2459	966
718	2462	962
719	2465	958
720	2468	955
721	2471	951
722	2475	948
723	2477	944
724	2481	941
725	2487	938
726	2490	935
727	2493	931
728	2496	927
729	2498	924
730	2501	920
731	2504	916
732	2506	913
733	2510	909
734	2512	906
735	2516	902
736	2519	899
737	2522	895
738	2525	891
739	2527	888
740	2530	884
741	2533	880
742	2535	877
743	2538	873
744	2541	869
745	2543	866
746	2547	862
747	2551	859
748	2554	856
749	2567	855
750	2573	853
751	2580	851
752	2593	850
753	2596	847
754	2600	843
755	2602	840
756	2608	837
757	2611	833
758	2617	831
759	2620	827
760	2624	824
761	2627	820
762	2632	817
763	2636	814
764	2641	811
765	2643	807
766	2646	803
767	2648	800
768	2652	796
769	2656	793
770	2659	789
771	2661	786
772	2664	782
773	2668	779
774	2670	775
775	2672	771
776	2675	767
777	2677	763
778	2680	760
779	2684	757
780	2687	753
781	2689	749
782	2692	746
783	2695	742
784	2698	739
785	2701	735
786	2703	731
787	2706	728
788	2708	724
789	2711	720
790	2714	717
791	2716	713
792	2719	709
793	2721	706
794	2723	702
795	2725	698
796	2727	694
797	2730	691
798	2732	687
799	2734	683
800	2737	679
801	2739	676
802	2742	672
803	2744	669
804	2747	665
805	2749	661
806	2751	658
807	2754	654
808	2756	650
809	2758	647
810	2761	643
811	2763	639
812	2765	636
813	2767	632
814	2770	628
815	2773	625
816	2775	621
817	2777	618
818	2779	614
819	2782	610
820	2786	607
821	2790	604
822	2792	600
823	2795	597
824	2799	593
825	2803	590
826	2807	587
827	2814	584
828	2818	581
829	2823	578
830	2826	574
831	2829	571
832	2834	568
833	2837	564
834	2839	561
835	2841	557
836	2845	554
837	2847	550
838	2850	546
839	2852	543
840	2854	539
841	2856	536
842	2859	532
843	2861	528
844	2864	525
845	2866	521
846	2869	518
847	2871	514
848	2875	511
849	2877	507
850	2879	504
851	2882	500
852	2884	497
853	2886	493
854	2888	489
855	2892	486
856	2894	483
857	2897	479
858	2900	476
859	2903	472
860	2908	469
861	2911	466
862	2914	462
863	2917	459
864	2921	455
865	2924	452
866	2928	449
867	2931	445
868	2933	442
869	2937	438
870	2940	435
871	2945	432
872	2949	429
873	2952	425
874	2955	422
875	2958	418
876	2961	415
877	2965	412
878	2969	408
879	2972	405
880	2975	401
881	2977	398
882	2982	395
883	2986	391
884	2990	388
885	2993	385
886	2999	382
887	3002	378
888	3005	375
889	3008	371
890	3023	369
891	3028	366
892	3035	363
893	3037	360
894	3041	356
895	3048	353
896	3052	350
897	3056	347
898	3060	343
899	3064	340
900	3070	337
901	3093	336
902	3100	333
903	3110	330
904	3115	327
905	3126	324
906	3129	320
907	3132	317
908	3135	313
909	3138	310
910	3141	306
911	3144	303
912	3146	299
913	3150	296
914	3152	292
915	3155	289
916	3157	285
917	3160	282
918	3162	278
919	3164	275
920	3167	271
921	3170	268
922	3172	264
923	3175	261
924	3178	257
925	3181	254
926	3183	250
927	3186	247
928	3188	243
929	3190	240
930	3192	236
931	3194	233
932	3196	229
933	3198	226
934	3201	222
935	3203	219
936	3205	215
937	3207	212
938	3210	208
939	3212	205
940	3214	201
941	3216	198
942	3218	194
943	3220	191
944	3223	187
945	3225	184
946	3227	180
947	3229	177
948	3231	173
949	3233	170
950	3235	166
951	3238	163
952	3241	159
953	3243	156
954	3246	152
955	3248	149
956	3251	146
957	3253	142
958	3256	139
959	3259	135
960	3262	132
961	3268	129
962	3270	125
963	3272	122
964	3275	118
965	3277	115
966	3280	111
967	3282	108
968	3285	105
969	3287	101
970	3289	98
971	3292	94
972	3294	91
973	3297	88
974	3299	84
975	3301	81
976	3304	77
977	3306	74
978	3309	70
979	3312	67
980	3314	64
981	3317	60
982	3319	57
983	3321	54
984	3323	50
985	3326	47
986	3329	43
987	3331	40
988	3333	37
989	3336	33
990	3338	30
991	3340	26
992	3343	23
993	3346	20
994	3348	16
995	3350	13
996	3352	10
997	3355	6
998	3358	3
999	3360	0
